setting,truth,hqtot all,hqtot atwd,hqtot fadc,portia all,portia atwd,portia fadc
2,0.0292,0.0295,0.0282,0.0291,0.0286,0.0286,0.0285
3,0.0840,0.0806,0.0766,0.0656,0.0787,0.0788,0.0714
4,0.2600,0.1883,0.2265,0.0992,0.2129,0.2131,0.1439
5,0.3720,0.2404,0.3176,0.1078,0.2834,0.2836,0.1695
6,1.0000,0.4960,0.8192,0.1199,0.6218,0.6224,0.2430
